mode,regime,volume_threshold,hft_frac,run,seed,n_ticks,shock_tick,shock_dp,speed_multiplier,softlimit,n_random,vol_ratio,spread_ratio,max_drawdown,recovery_time,mm_stress_ratio,avg_sub_iters,max_sub_iters_observed,threshold_hit_rate,executed_volume_total,book_depleted_rate,calendar_volume_per_tick_target,vstar_to_calendar_tick_ratio
calendar,calendar,,0.3,28,280072,500,200,-10,2,100,5,3.204216503966447,3.0869354591210287,0.09792843691148781,21,0.0,1.0,1,1.0,7355,0.0,12.591199999999997,
calendar,calendar,,0.3,29,290072,500,200,-10,2,100,5,1.0057110231113262,0.7514695932003155,0.16520787746170687,18,0.0,1.0,1,1.0,7650,0.0,12.591199999999997,
calendar,calendar,,0.4,0,82,500,200,-10,2,100,5,2.064972360001502,2.210843196592344,0.12438785504407433,18,0.0,1.0,1,1.0,6846,0.0,12.591199999999997,
calendar,calendar,,0.4,1,10082,500,200,-10,2,100,5,1.7677656543287408,1.6655367437629511,0.09278350515463922,13,0.0,1.0,1,1.0,7183,0.0,12.591199999999997,
calendar,calendar,,0.4,2,20082,500,200,-10,2,100,5,2.636838051344766,2.121496908448067,0.38589211618257263,56,0.0,1.0,1,1.0,8809,0.0,12.591199999999997,
calendar,calendar,,0.4,3,30082,500,200,-10,2,100,5,3.4467526969492672,3.371706311238116,0.11205976520811099,7,0.0,1.0,1,1.0,8154,0.0,12.591199999999997,
calendar,calendar,,0.4,4,40082,500,200,-10,2,100,5,2.5047434157269914,3.1760204514610977,0.16831683168316833,269,0.0,1.0,1,1.0,8309,0.0,12.591199999999997,
calendar,calendar,,0.4,5,50082,500,200,-10,2,100,5,1.968185944957107,1.9854532176162756,0.17187499999999992,24,0.0,1.0,1,1.0,7986,0.0,12.591199999999997,
calendar,calendar,,0.4,6,60082,500,200,-10,2,100,5,2.330720290430979,2.405718263211633,0.21792260692464363,2,0.0,1.0,1,1.0,7374,0.0,12.591199999999997,
calendar,calendar,,0.4,7,70082,500,200,-10,2,100,5,1.7659775366842716,1.60216119124965,0.1482720178372352,12,0.0,1.0,1,1.0,7540,0.0,12.591199999999997,
calendar,calendar,,0.4,8,80082,500,200,-10,2,100,5,1.3331597047501766,1.2409291061456482,0.07944389275074479,15,0.0,1.0,1,1.0,6950,0.0,12.591199999999997,
calendar,calendar,,0.4,9,90082,500,200,-10,2,100,5,2.910940553988682,2.0043638062721096,0.09649952696310314,8,0.0,1.0,1,1.0,7808,0.0,12.591199999999997,
calendar,calendar,,0.4,10,100082,500,200,-10,2,100,5,1.1383833865584807,1.088454563218518,0.15625,2,0.0,1.0,1,1.0,7730,0.0,12.591199999999997,
calendar,calendar,,0.4,11,110082,500,200,-10,2,100,5,2.6877594786110937,2.3755866965117205,0.32882414151925077,92,0.0,1.0,1,1.0,7942,0.0,12.591199999999997,
