run,seed,hft_frac,info_lag,book_volume,speed_mult,softlimit,n_iter,shock_it,shock_dp,vol_ratio,spread_ratio,max_drawdown,recovery_time,mm_panic_ratio,stabilization_price,stabilization_price_ratio,stabilization_gap,acf_abs_ret_1,acf_abs_ret_5,vol_persistence,high_vol_cluster_share
80,80041320,0.4,1,300,2,100,500,200,-10,2.3719429230482834,1.9667299070279152,0.0488565488565488,4,1.0,107.95999999999998,1.122245322245322,-0.1222453222453219,0.4639237183806909,0.1278364450157949,0.9700126805058776,0.391304347826087
81,81041320,0.4,1,300,2,100,500,200,-10,1.5704934987973695,2.356138016585406,0.3246628131021195,62,0.4266666666666667,87.4,0.8420038535645473,0.1579961464354526,0.4912771764345596,0.1282597936338857,0.9611122329133572,0.411371237458194
82,82041320,0.4,1,300,2,100,500,200,-10,1.5953644175410782,1.8075467484211245,0.1876190476190476,20,0.0,89.99,0.857047619047619,0.142952380952381,0.422389696569811,0.172581028218593,0.9553235840971008,0.2709030100334448
83,83041320,0.4,1,300,2,100,500,200,-10,2.772116329767742,4.631802906851693,0.4139492753623188,7,1.0,93.206,0.8442572463768115,0.1557427536231884,0.3488811875992658,0.093145124905775,0.9587801624893424,0.4749163879598662
84,84041320,0.4,1,300,2,100,500,200,-10,3.146669189934911,2.530592911438283,0.5326424870466321,36,1.0,87.78800000000001,0.909720207253886,0.0902797927461138,0.3793129527117422,0.0159735377369647,0.9412274869839328,0.4983277591973244
85,85041320,0.4,1,300,2,100,500,200,-10,3.325707063135846,3.532927464932176,0.4608859566446748,81,1.0,118.362,1.115570216776626,-0.1155702167766259,0.4131764573024712,0.2089763235281657,0.9681797241239036,0.5752508361204013
86,86041320,0.4,1,300,2,100,500,200,-10,1.3384022815390098,1.5289739517103391,0.8142857142857143,16,1.0,89.094,0.9091224489795918,0.0908775510204081,0.403880623770603,0.2035240798414467,0.9545989205106598,0.1939799331103679
87,87041320,0.4,1,300,2,100,500,200,-10,3.150721231288616,4.557890577582255,0.2512613521695256,8,1.0,95.18800000000002,0.960524722502523,0.039475277497477,0.4761779812219807,0.2121069529964575,0.9683009261859908,0.6555183946488294
88,88041320,0.4,1,300,2,100,500,200,-10,3.430143163302318,3.543982416430971,0.5098241985522234,17,1.0,94.766,0.98,0.0200000000000001,0.4711817306875677,0.4973170025171585,0.975938595132678,0.3812709030100334
89,89041320,0.4,1,300,2,100,500,200,-10,3.020559892976279,3.0492515396516673,0.5618556701030928,31,1.0,77.602,0.800020618556701,0.1999793814432989,0.3696600142501538,0.2298100553261158,0.9578581061549768,0.5150501672240803
