run,seed,hft_frac,info_lag,softlimit,speed_mult,n_iter,shock_it,shock_dp,vol_ratio,spread_ratio,max_drawdown,recovery_time,mm_panic_ratio,acf_abs_ret_1,acf_abs_ret_5,vol_persistence,high_vol_cluster_share
8,808022,0.8,0,20,2,500,200,-10,1.7698244173888331,1.632070792611019,0.175217812197483,12,1.0,0.247407827229049,0.1920277041971757,0.9614658962450016,0.35785953177257523
9,908022,0.8,0,20,2,500,200,-10,1.3896253760924828,1.4835327917907386,0.4596858638743455,62,1.0,0.23472831657237128,0.12912254750948893,0.9510721730204582,0.24749163879598662
10,1008022,0.8,0,20,2,500,200,-10,1.1859898891350455,1.4351231512090692,0.26399999999999996,9,1.0,0.24430292893245137,0.365483022405262,0.9804943654406618,0.22742474916387959
11,1108022,0.8,0,20,2,500,200,-10,1.4599798954651966,1.9976972569287632,0.30854271356783924,5,1.0,0.41058017840882377,0.2934083508908996,0.9756706161312879,0.3210702341137124
12,1208022,0.8,0,20,2,500,200,-10,1.6221407073777736,1.0441366163054249,0.3540183112919634,12,1.0,0.4036910937039385,0.0814286667721101,0.9476753853534119,0.2408026755852843
13,1308022,0.8,0,20,2,500,200,-10,0.6809570654345221,0.6875228675930499,0.2669683257918553,2,1.0,0.23618865314067547,0.32503290501818055,0.976783138415846,0.03678929765886288
14,1408022,0.8,0,20,2,500,200,-10,1.678989423771389,2.1482724905857724,0.33471074380165283,65,1.0,0.3786478169777635,0.41372052377915497,0.9823949157962777,0.27759197324414714
15,1508022,0.8,0,20,2,500,200,-10,4.572206806320596,3.0839626677396,0.26526315789473687,29,1.0,0.22664316553881916,0.16944823191609504,0.9445403378341242,0.5117056856187291
16,1608022,0.8,0,20,2,500,200,-10,2.4937374098366383,2.781024893636269,0.34726368159203985,27,1.0,0.31806988293855537,0.07556563418238382,0.9580401836432602,0.5117056856187291
17,1708022,0.8,0,20,2,500,200,-10,0.9561737914476603,0.7379212626497832,0.09543147208121833,8,1.0,0.2407262079950771,0.13718665487981185,0.9515438557857487,0.033444816053511704
18,1808022,0.8,0,20,2,500,200,-10,1.8045666994515814,1.4096244538737175,0.22351797862001943,17,1.0,0.2025003561033696,0.10545610034357418,0.952343725938943,0.2408026755852843
19,1908022,0.8,0,20,2,500,200,-10,2.3318743014987477,2.041197211607079,0.19941060903732807,50,1.0,0.25959728415181915,0.11630770666675429,0.9611664766239463,0.5518394648829431
