hft_frac,info_lag,book_volume,metric,n_boot,n_base,n_delay,n_thin_book,n_combined,interaction_point,interaction_boot_mean,ci_low,ci_high,p_two_sided,ci_excludes_zero,positive_point
0.6,1,1000,vol_ratio,1000,30,30,30,30,0.7548318308738691,0.7541886933017831,-0.327791798135826,1.8574104410884436,0.164,False,True
0.6,3,300,acf_abs_ret_1,1000,30,30,30,30,-0.028036638303338135,-0.02596504612688718,-0.10234719261769659,0.05339009608505497,0.482,False,False
0.6,3,300,acf_abs_ret_5,1000,30,30,30,30,-0.021371120505478985,-0.023985445077317053,-0.0968864875944537,0.04753865898874324,0.53,False,False
0.6,3,300,vol_persistence,1000,30,30,30,30,0.027903851250542178,0.026043869353786397,-0.011159541034055642,0.09707664592234362,0.624,False,True
0.6,3,300,high_vol_cluster_share,1000,30,30,30,30,-0.011259754738015493,-0.01301003344481605,-0.199227982162765,0.175158862876254,0.902,False,False
0.6,3,300,vol_ratio,1000,30,30,30,30,-0.3146165695690786,-0.3422872297506136,-1.7452138919785332,1.1198179175507665,0.63,False,False
0.6,3,600,acf_abs_ret_1,1000,30,30,30,30,-0.013054728097696255,-0.012288756426625096,-0.07737359776066582,0.05218344084577111,0.682,False,False
0.6,3,600,acf_abs_ret_5,1000,30,30,30,30,-0.049091343047632935,-0.049518975246866236,-0.12228083955146646,0.019789229635584132,0.176,False,False
0.6,3,600,vol_persistence,1000,30,30,30,30,-0.006180744346938494,-0.006384380710910737,-0.015486734217055603,0.002228437897653976,0.136,False,False
0.6,3,600,high_vol_cluster_share,1000,30,30,30,30,-0.054626532887402546,-0.05359576365663319,-0.24173634336677804,0.1098272017837235,0.57,False,False
0.6,3,600,vol_ratio,1000,30,30,30,30,-0.43120713010547496,-0.44324393690646774,-1.7688315640516419,0.7743531792212284,0.486,False,False
0.6,3,1000,acf_abs_ret_1,1000,30,30,30,30,-0.06338549920326386,-0.06465205568912527,-0.13697218714675738,0.005985901316510341,0.08,False,False
0.6,3,1000,acf_abs_ret_5,1000,30,30,30,30,-0.057340580161145155,-0.05623571474004359,-0.12889265753309076,0.014281683127694596,0.112,False,False
0.6,3,1000,vol_persistence,1000,30,30,30,30,-0.0043059722022259495,-0.004393084790344879,-0.01199306869480896,0.003196705890470823,0.286,False,False
0.6,3,1000,high_vol_cluster_share,1000,30,30,30,30,0.033556298773690096,0.03558539576365662,-0.1443868450390191,0.21940914158305458,0.724,False,True
0.6,3,1000,vol_ratio,1000,30,30,30,30,-0.11393673997662335,-0.10990228154067112,-1.3019213129485783,1.0453255503076524,0.886,False,False
0.6,5,300,acf_abs_ret_1,1000,30,30,30,30,-0.016871981612073483,-0.015801351070460636,-0.09188099828912301,0.06534494289639908,0.702,False,False
0.6,5,300,acf_abs_ret_5,1000,30,30,30,30,0.012536938394384328,0.01178197388427584,-0.07110521114480912,0.10034477797009822,0.818,False,True
0.6,5,300,vol_persistence,1000,30,30,30,30,0.026727534084638904,0.02580984994681181,-0.012138734042358209,0.09510409471880554,0.64,False,True
0.6,5,300,high_vol_cluster_share,1000,30,30,30,30,-0.1429208472686732,-0.14360936454849496,-0.32654124860646583,0.045041806020066924,0.152,False,False
0.6,5,300,vol_ratio,1000,30,30,30,30,-1.0417036265135091,-1.0341702807643194,-2.3961975097582555,0.23008916809014757,0.126,False,False
0.6,5,600,acf_abs_ret_1,1000,30,30,30,30,-0.05953710043407995,-0.05765864757620097,-0.12503822022091862,0.00735034066709099,0.096,False,False
0.6,5,600,acf_abs_ret_5,1000,30,30,30,30,-0.0078115626770235425,-0.00997096365295484,-0.07753192553725394,0.057220095663572536,0.754,False,False
0.6,5,600,vol_persistence,1000,30,30,30,30,-0.00528152920817504,-0.005384150475829559,-0.015006695088567243,0.004764364366656855,0.284,False,False
0.6,5,600,high_vol_cluster_share,1000,30,30,30,30,-0.09230769230769226,-0.0879539576365663,-0.24975752508361201,0.074083054626533,0.282,False,False
0.6,5,600,vol_ratio,1000,30,30,30,30,-0.41491746790359096,-0.45207696489774607,-1.4792862987394564,0.6669843259609,0.412,False,False
0.6,5,1000,acf_abs_ret_1,1000,30,30,30,30,-0.06385119071674722,-0.06332657885384854,-0.1286619984168821,0.0017423908805119753,0.058,False,False
0.6,5,1000,acf_abs_ret_5,1000,30,30,30,30,-0.06920390618723199,-0.06974646204666396,-0.13668276518963798,-0.00700110582842632,0.034,True,False
0.6,5,1000,vol_persistence,1000,30,30,30,30,-0.006295516794106781,-0.006133392797697038,-0.014077820469977667,0.002684254236536948,0.14,False,False
0.6,5,1000,high_vol_cluster_share,1000,30,30,30,30,0.11337792642140487,0.11355373467112598,-0.06033723522853957,0.28434225195094776,0.206,False,True
