hft_frac,run,diff_vol_ratio,diff_spread_ratio,diff_max_drawdown,diff_recovery_time,diff_mm_panic_ratio,diff_total_executed_volume,diff_post_volume,diff_volume_per_tick,diff_realized_vol_per_volume,diff_n_ticks
0.4,18,-0.3134148572450579,-0.7279032219382049,-0.1583967271118975,-35.0,0.0,7.0,-20.0,0.5175238095238104,-0.00015158916973544238,-17.0
0.4,19,-0.5568720897932518,-0.07244069042851842,-0.07737493955830883,1.0,0.0,7.0,-16.0,-0.3691750972762655,-0.00011600541107508537,14.0
0.4,20,0.2681671102020715,0.14290166905243362,-0.031039819925149092,4.0,0.0,4.0,-31.0,0.0740562248995964,-1.8593962089374222e-05,-2.0
0.4,21,1.1351275845907025,0.8352386002964103,0.08886493146465432,-8.0,0.0,8.0,-18.0,0.9437021276595736,0.000252443979879737,-30.0
0.4,22,-0.016997313848154505,0.007457297513258965,-0.059111673127915265,-58.0,0.0,0.0,-30.0,0.0,6.914112427746266e-07,0.0
0.4,23,-3.2359782488537085,-3.3685560805073713,-0.11744849838669638,-2.0,0.0,23.0,12.0,-0.9434736842105256,-0.0006197113861356872,32.0
0.4,24,-1.5644553543809896,-2.5441116994942528,-0.1567982456140351,-99.0,0.0,3.0,-17.0,0.7319999999999993,-0.0003075648162351059,-20.0
0.4,25,-0.1818468877055952,-0.19749405324293812,-0.03951335055986223,2.0,0.0,1.0,-36.0,-0.1788774703557312,-5.497423810194005e-05,6.0
0.4,26,0.3175005498596688,-0.033946477875338665,0.09223124277959771,1.0,0.0,5.0,-59.0,-0.29466666666666796,2.5156591097714017e-05,10.0
0.4,27,0.7758675123777112,0.8711232842681385,-0.010355059900732405,-3.0,0.0,13.0,-24.0,-0.3870817120622565,0.00025231064257315083,14.0
0.4,28,0.38638737506655696,-0.05349242391230291,0.032511969465777196,-12.0,0.0,2.0,-16.0,-0.4790387596899226,3.2882291467509987e-06,16.0
0.4,29,-0.02251316897013922,-0.095576269958074,-0.03048215371383667,-73.0,0.0,0.0,0.0,0.0,4.75292847047456e-06,0.0
0.4,30,1.3792942826170602,2.296923775797869,0.03430506127835403,-1.0,0.0,3.0,-17.0,1.3203722943722944,0.00022202636403899486,-38.0
0.4,31,0.21600163272012007,0.15628157379723895,-0.002040024723178213,-91.0,0.0,5.0,-5.0,0.700252100840336,6.27392883973977e-05,-24.0
0.4,32,-3.1241848185648546,-4.271931694004221,-0.12344988484431552,-9.0,0.0,5.0,-27.0,-0.6649230769230776,-0.0004792790143726781,20.0
