fast_share,softlimit,run,vol_ratio,spread_ratio,max_drawdown,mm_panic_ratio
0.7,5,1,1.1329993489752674,0.8233171811133057,0.140655105973025,1.0
0.7,5,2,1.0287432123329807,1.3243499233202018,0.09471585244267199,1.0
0.7,5,3,0.985767268050956,1.353031775015392,0.12202688728024816,1.0
0.7,5,4,1.0375076411878101,1.0263898057632983,0.09410646387832705,1.0
0.7,5,5,1.0108873088820385,0.9592705091722049,0.10428849902534103,1.0
0.7,5,6,1.3179248195701307,1.4401846183371991,0.19477911646586338,1.0
0.7,5,7,1.200714256036615,1.1747361481459435,0.1195219123505976,1.0
0.7,5,8,1.013805014799711,0.9342253838097769,0.10220264317180612,1.0
0.7,5,9,1.2113453840596704,1.1295882742222927,0.10799584631360323,1.0
0.7,5,10,1.0607073469367987,1.2397487313706461,0.12772277227722778,1.0
0.7,5,11,1.072030028213573,1.133862969882346,0.1138975966562174,1.0
0.7,5,12,1.0105928346742576,1.2665411989179063,0.11658291457286427,1.0
0.7,5,13,1.2617016093428515,1.2104222925592614,0.10509885535900099,1.0
0.7,5,14,1.0037482670135414,1.30458656295257,0.15709969788519632,1.0
0.7,5,15,0.8605072045664908,1.0026549042057957,0.10380267214799584,1.0
0.7,5,16,1.0863814707110033,1.0445693742931985,0.10871905274488707,1.0
0.7,5,17,1.0682108174878568,1.4056609651088283,0.11880165289256199,1.0
0.7,5,18,1.236456298312827,1.175988408763413,0.09541984732824428,1.0
0.7,5,19,1.2581159936988238,1.2209805201282575,0.12852969814995133,1.0
0.8,5,0,0.9894205273874269,1.129907775827467,0.07969432314410478,1.0
0.8,5,1,1.11494629280843,1.0094992680446448,0.10957551826258632,1.0
0.8,5,2,1.1328894561116891,1.2021239163494533,0.08619000979431928,1.0
0.8,5,3,1.4692263982624065,1.0940553179061745,0.09300095877277088,1.0
0.8,5,4,1.1147368316908943,1.2426216626802664,0.10931174089068824,1.0
0.8,5,5,1.1262622640876114,1.4391314696373914,0.10319917440660474,1.0
0.8,5,6,1.096024027200641,1.2461934809914692,0.09356725146198826,1.0
0.8,5,7,1.1390614233223468,0.9966877251191615,0.10562685093780852,1.0
0.8,5,8,1.0660639109038796,1.092826447117943,0.11314655172413793,1.0
0.8,5,9,0.9022620056810493,1.0972840368407781,0.143646408839779,1.0
0.8,5,10,0.980008532794257,1.019944267029652,0.09832402234636868,1.0
0.8,5,11,1.1378361715800134,1.0539559941681858,0.0941176470588235,1.0
0.8,5,12,1.0883886447482354,1.2524498200761873,0.11025886864813039,1.0
0.8,5,13,1.1857630655667946,1.1230630375573116,0.09999999999999998,1.0
0.8,5,14,1.0359214744813565,1.266727593038942,0.12831389183457045,1.0
0.8,5,15,0.8600486614055245,0.8849496047341033,0.10710498409331913,1.0
0.8,5,16,1.2417921017520432,1.1650070105336563,0.10926829268292686,1.0
