hft_frac,info_lag,softlimit,metric,n_boot,n_base,n_delay,n_liquidity,n_combined,interaction_point,interaction_boot_mean,ci_low,ci_high,p_two_sided,ci_excludes_zero,positive_point
0.0,5,20,high_vol_cluster_share,1000,30,30,30,30,0.056967670011148275,0.05764838350055744,-0.10850613154960977,0.22453455964325547,0.522,False,True
0.0,5,20,vol_ratio,1000,30,30,30,30,-0.2621041789873284,-0.2571012772137734,-1.0798009067985161,0.4821828345302977,0.522,False,False
0.0,5,50,acf_abs_ret_1,1000,30,30,30,30,-0.015529959121379833,-0.017209031726943845,-0.08315141042033532,0.051476370822880764,0.596,False,False
0.0,5,50,acf_abs_ret_5,1000,30,30,30,30,0.0349082801600617,0.03634477348132536,-0.04296838448949702,0.11036620629125155,0.316,False,True
0.0,5,50,vol_persistence,1000,30,30,30,30,0.0039803756101198795,0.004104977163411383,-0.0034810790892789182,0.012461257778886096,0.328,False,True
0.0,5,50,high_vol_cluster_share,1000,30,30,30,30,-0.09342251950947611,-0.09464648829431438,-0.28515886287625414,0.09237736900780368,0.306,False,False
0.0,5,50,vol_ratio,1000,30,30,30,30,-0.43300633114073594,-0.4279450206606633,-1.2756133112895163,0.4312583212043817,0.318,False,False
0.0,10,20,acf_abs_ret_1,1000,30,30,30,30,-0.0323498677334238,-0.03275683068086289,-0.11156059512798398,0.04064126325376511,0.404,False,False
0.0,10,20,acf_abs_ret_5,1000,30,30,30,30,-0.005889243510583647,-0.007143237357638976,-0.07112427891015606,0.05601025720236012,0.852,False,False
0.0,10,20,vol_persistence,1000,30,30,30,30,0.0019038480821121917,0.0019156027330410558,-0.006624894099378081,0.010045596581038777,0.662,False,True
0.0,10,20,high_vol_cluster_share,1000,30,30,30,30,0.03879598662207345,0.03783522853957638,-0.1302201783723524,0.1848885172798216,0.632,False,True
0.0,10,20,vol_ratio,1000,30,30,30,30,-0.2968978293036746,-0.2937312126931557,-0.9041747164130303,0.38156333107132506,0.366,False,False
0.0,10,50,acf_abs_ret_1,1000,30,30,30,30,-0.016173860830468456,-0.016438156892627884,-0.09111176425969407,0.04749425911806079,0.644,False,False
0.0,10,50,acf_abs_ret_5,1000,30,30,30,30,-0.009104781704145914,-0.009243834678330174,-0.06933397676594479,0.049033865649767465,0.748,False,False
0.0,10,50,vol_persistence,1000,30,30,30,30,-0.0008260360146724599,-0.0007277808021524582,-0.008330259893581706,0.006770900577523938,0.858,False,False
0.0,10,50,high_vol_cluster_share,1000,30,30,30,30,-0.08405797101449286,-0.08358907469342253,-0.24261426978818282,0.07850055741360074,0.338,False,False
0.0,10,50,vol_ratio,1000,30,30,30,30,-0.5400416967516461,-0.5424105617027731,-1.1446851159404252,0.06626497365188375,0.082,False,False
0.2,1,20,acf_abs_ret_1,1000,30,30,30,30,-0.029157179825515522,-0.028169932807740862,-0.09507720543078228,0.0465322465918878,0.466,False,False
0.2,1,20,acf_abs_ret_5,1000,30,30,30,30,-0.07175996545600498,-0.07018617802138244,-0.14050100018514822,0.003490504637801907,0.062,False,False
0.2,1,20,vol_persistence,1000,30,30,30,30,-0.006640240019532229,-0.006587497133340802,-0.01469442664137843,0.0012643797034741296,0.106,False,False
0.2,1,20,high_vol_cluster_share,1000,30,30,30,30,-0.04559643255295415,-0.04415808249721295,-0.206360089186176,0.10965719063545147,0.57,False,False
0.2,1,20,vol_ratio,1000,30,30,30,30,-0.26678422768346133,-0.26079539580724387,-1.0398444347775226,0.43066357693190904,0.488,False,False
