experiment,hft_frac,info_lag,liquidity_setting,metric,interaction_point,interaction_boot_mean,ci_low,ci_high,p_two_sided,ci_excludes_zero,positive_point,p_holm,p_bh,significant_holm_5pct,significant_bh_5pct,metric_family,supports_original_h3,contradicts_original_h3
book_depth,0.2,5,book_volume=300,acf_abs_ret_5,0.1060487379568809,0.1050930267305235,0.0350209856388562,0.1781116573230272,0.006,True,True,1.0,0.72,False,False,core_clustering,False,False
book_depth,0.2,5,book_volume=300,high_vol_cluster_share,0.0016722408026756,0.0033918617614269,-0.1824275362318842,0.1834002229654404,0.95,False,True,1.0,0.9980000000000001,False,False,context,False,False
book_depth,0.2,5,book_volume=300,vol_persistence,0.0078706966576275,0.0082030069709912,0.0002596277015738,0.0160333293149952,0.044,True,True,1.0,0.72,False,False,core_clustering,False,False
book_depth,0.2,5,book_volume=300,vol_ratio,-0.2139663177155908,-0.2073486885700891,-1.1693201235352335,0.7920423228146101,0.652,False,False,1.0,0.9676325088339224,False,False,context,False,False
book_depth,0.2,5,book_volume=600,acf_abs_ret_1,-0.0201927466441833,-0.0189442938626661,-0.0992759189408172,0.0651793582261665,0.624,False,False,1.0,0.9548201438848921,False,False,core_clustering,False,False
book_depth,0.2,5,book_volume=600,acf_abs_ret_5,0.0441316360248799,0.0452926066858638,-0.0292138631451288,0.118599645189991,0.248,False,True,1.0,0.8823529411764706,False,False,core_clustering,False,False
book_depth,0.2,5,book_volume=600,high_vol_cluster_share,-0.0696767001114826,-0.0716051282051282,-0.255685618729097,0.1201978818283165,0.452,False,False,1.0,0.919103139013453,False,False,context,False,False
book_depth,0.2,5,book_volume=600,vol_persistence,0.0066205913734804,0.0064021982645743,-0.0026202976213408,0.0150957886395275,0.148,False,True,1.0,0.7785365853658536,False,False,core_clustering,False,False
book_depth,0.2,5,book_volume=600,vol_ratio,0.0905171737772247,0.1013618140537118,-0.9809259481183924,1.151546707977146,0.85,False,True,1.0,0.9762765957446808,False,False,context,False,False
book_depth,0.4,1,book_volume=1000,acf_abs_ret_1,-0.0263132806055772,-0.025817097249494,-0.0934471436742879,0.0440110989130454,0.452,False,False,1.0,0.919103139013453,False,False,core_clustering,False,False
book_depth,0.4,1,book_volume=1000,acf_abs_ret_5,-0.0385176127228057,-0.038915200726377,-0.1071138883456831,0.0342606214764886,0.278,False,False,1.0,0.9024324324324324,False,False,core_clustering,False,False
book_depth,0.4,1,book_volume=1000,high_vol_cluster_share,-0.0023411371237461,-0.0035542920847269,-0.1701727982162766,0.1597798216276477,0.986,False,False,1.0,0.9980000000000001,False,False,context,False,False
book_depth,0.4,1,book_volume=1000,vol_persistence,0.0011763137513381,0.00121542203642,-0.0074810860122458,0.0098734895318985,0.78,False,True,1.0,0.9762765957446808,False,False,core_clustering,False,False
book_depth,0.4,1,book_volume=1000,vol_ratio,-0.0500147131851451,-0.0316982807438242,-1.1830505675471397,1.18326959406638,0.952,False,False,1.0,0.9980000000000001,False,False,context,False,False
book_depth,0.4,1,book_volume=300,acf_abs_ret_1,0.0141291634100599,0.0156891699252876,-0.0560246023122736,0.0913997571497643,0.7,False,True,1.0,0.9753947368421052,False,False,core_clustering,False,False
book_depth,0.4,1,book_volume=300,acf_abs_ret_5,-0.0339552585543139,-0.0350454187205323,-0.1078744263521816,0.0368369004254394,0.358,False,False,1.0,0.9181395348837209,False,False,core_clustering,False,False
book_depth,0.4,1,book_volume=300,high_vol_cluster_share,-0.0246376811594207,-0.0208885172798217,-0.2114994425863992,0.1755211817168339,0.862,False,False,1.0,0.9762765957446808,False,False,context,False,False
book_depth,0.4,1,book_volume=300,vol_persistence,-0.0023809517286118,-0.0022415787106096,-0.0107207012209932,0.0063017975982349,0.63,False,False,1.0,0.9548201438848921,False,False,core_clustering,False,False
book_depth,0.4,1,book_volume=300,vol_ratio,0.0974356564950107,0.1102603231817602,-1.103205556327456,1.3280742309708873,0.856,False,True,1.0,0.9762765957446808,False,False,context,False,False
book_depth,0.4,1,book_volume=600,acf_abs_ret_1,0.0274673561594856,0.0277873370572067,-0.0446300421190007,0.0945113890111973,0.458,False,True,1.0,0.919103139013453,False,False,core_clustering,False,False
book_depth,0.4,1,book_volume=600,acf_abs_ret_5,-0.0068037026277872,-0.0055604556684729,-0.071978733765755,0.0606004929895788,0.858,False,False,1.0,0.9762765957446808,False,False,core_clustering,False,False
book_depth,0.4,1,book_volume=600,high_vol_cluster_share,0.0085841694537344,0.0098877369007803,-0.1901254180602006,0.2114046822742474,0.934,False,True,1.0,0.993113924050633,False,False,context,False,False
book_depth,0.4,1,book_volume=600,vol_persistence,0.0008456838830548,0.0008225794491501,-0.007182197782699,0.0095573907260193,0.878,False,True,1.0,0.9781432360742706,False,False,core_clustering,False,False
book_depth,0.4,1,book_volume=600,vol_ratio,-0.155190369463682,-0.1805795812648467,-1.3567434622614165,1.0504709617795387,0.802,False,False,1.0,0.9762765957446808,False,False,context,False,False
book_depth,0.4,3,book_volume=1000,acf_abs_ret_1,-0.0123698163823918,-0.0121481401261963,-0.0739651094791755,0.0511453746424022,0.706,False,False,1.0,0.9753947368421052,False,False,core_clustering,False,False
book_depth,0.4,3,book_volume=1000,acf_abs_ret_5,-0.0181415435373176,-0.0189754741834716,-0.0892470783889917,0.0559034965814156,0.624,False,False,1.0,0.9548201438848921,False,False,core_clustering,False,False
book_depth,0.4,3,book_volume=1000,high_vol_cluster_share,-0.0483835005574138,-0.046665663322185,-0.2225278706800446,0.1334782608695651,0.59,False,False,1.0,0.9548201438848921,False,False,context,False,False
book_depth,0.4,3,book_volume=1000,vol_persistence,0.0034730937702985,0.0035593006679609,-0.0049776260488625,0.0120610283472273,0.404,False,True,1.0,0.919103139013453,False,False,core_clustering,False,False
book_depth,0.4,3,book_volume=1000,vol_ratio,-0.0130575333841118,0.0088642680262923,-1.2874589307999516,1.3822847118098474,0.996,False,False,1.0,0.9980000000000001,False,False,context,False,False
book_depth,0.4,3,book_volume=300,acf_abs_ret_1,0.0500145442965666,0.0491824098995676,-0.0198904748619528,0.1145216843462123,0.14,False,True,1.0,0.7785365853658536,False,False,core_clustering,False,False
book_depth,0.4,3,book_volume=300,acf_abs_ret_5,0.0035401501083866,0.0019697699535403,-0.0754273569878143,0.080031951302797,0.956,False,True,1.0,0.9980000000000001,False,False,core_clustering,False,False
book_depth,0.4,3,book_volume=300,high_vol_cluster_share,-0.1876254180602011,-0.1900846153846154,-0.3797129319955407,-0.0186176142697881,0.032,True,False,1.0,0.72,False,False,context,False,False
book_depth,0.4,3,book_volume=300,vol_persistence,-0.0034012257026845,-0.0033777341917157,-0.0127938559760503,0.0052327407797757,0.486,False,False,1.0,0.919103139013453,False,False,core_clustering,False,False
book_depth,0.4,3,book_volume=300,vol_ratio,-0.7134101461607467,-0.7244310890361734,-1.949381158829547,0.4921059421657856,0.26,False,False,1.0,0.8950819672131147,False,False,context,False,False
book_depth,0.4,3,book_volume=600,acf_abs_ret_1,0.0270053177800327,0.0269012504955516,-0.0388354086359212,0.0951949638241179,0.436,False,True,1.0,0.919103139013453,False,False,core_clustering,False,False
book_depth,0.4,3,book_volume=600,acf_abs_ret_5,-0.0342812231306094,-0.0348451161807958,-0.1117765956896172,0.039154079772387,0.356,False,False,1.0,0.9181395348837209,False,False,core_clustering,False,False
book_depth,0.4,3,book_volume=600,high_vol_cluster_share,-0.0186176142697885,-0.0192226309921962,-0.2074888517279823,0.1694119286510591,0.844,False,False,1.0,0.9762765957446808,False,False,context,False,False
book_depth,0.4,3,book_volume=600,vol_persistence,-0.0030286097428129,-0.0032345709288957,-0.0123332808246149,0.0057175452169421,0.474,False,False,1.0,0.919103139013453,False,False,core_clustering,False,False
book_depth,0.4,3,book_volume=600,vol_ratio,-0.187919563938216,-0.131860150002431,-1.4992667903474228,1.1909664221372165,0.842,False,False,1.0,0.9762765957446808,False,False,context,False,False
book_depth,0.4,5,book_volume=1000,acf_abs_ret_1,-0.0660945872127985,-0.0656449205502654,-0.124525721496719,-0.0038851097316437,0.03,True,False,1.0,0.72,False,False,core_clustering,False,False
book_depth,0.4,5,book_volume=1000,acf_abs_ret_5,-0.0441843557287388,-0.044055314044614,-0.1207026067480302,0.027378167890424,0.226,False,False,1.0,0.8823529411764706,False,False,core_clustering,False,False
book_depth,0.4,5,book_volume=1000,high_vol_cluster_share,-0.0016722408026758,-0.0001278706800446,-0.1648522853957637,0.1721376811594203,0.99,False,False,1.0,0.9980000000000001,False,False,context,False,False
book_depth,0.4,5,book_volume=1000,vol_persistence,-0.0029206140469459,-0.0029628055981378,-0.0117840809717432,0.0057470890906611,0.546,False,False,1.0,0.9476033057851241,False,False,core_clustering,False,False
book_depth,0.4,5,book_volume=1000,vol_ratio,0.2609730563492571,0.2591571986240699,-0.9865743703042116,1.557121325657444,0.7,False,True,1.0,0.9753947368421052,False,False,context,False,False
book_depth,0.4,5,book_volume=300,acf_abs_ret_1,-0.0401866789953141,-0.0401627283128086,-0.1091615045607483,0.0280813634715271,0.274,False,False,1.0,0.9024324324324324,False,False,core_clustering,False,False
book_depth,0.4,5,book_volume=300,acf_abs_ret_5,-0.0550431549709356,-0.0545558240695523,-0.1251012253388626,0.019951709090803,0.126,False,False,1.0,0.7785365853658536,False,False,core_clustering,False,False
book_depth,0.4,5,book_volume=300,high_vol_cluster_share,-0.0680044593088074,-0.0696567447045708,-0.2416053511705685,0.1090579710144928,0.44,False,False,1.0,0.919103139013453,False,False,context,False,False
book_depth,0.4,5,book_volume=300,vol_persistence,-0.0086343340666282,-0.0086418952965937,-0.0171137340007554,-0.0007219445833372,0.038,True,False,1.0,0.72,False,False,core_clustering,False,False
book_depth,0.4,5,book_volume=300,vol_ratio,-0.048743798194855,-0.0432815297404564,-1.316662529728581,1.2500022303471765,0.922,False,False,1.0,0.9828426395939086,False,False,context,False,False
book_depth,0.4,5,book_volume=600,acf_abs_ret_1,0.016492882044497,0.0177792903660945,-0.0456363760494083,0.0856266104561641,0.59,False,True,1.0,0.9548201438848921,False,False,core_clustering,False,False
book_depth,0.4,5,book_volume=600,acf_abs_ret_5,-0.0020397961833313,-0.0017329810228503,-0.0722001537137185,0.0694784284637388,0.958,False,False,1.0,0.9980000000000001,False,False,core_clustering,False,False
